PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,FamilySize,IsAlone,AgeGroup,FareGroup
39,0,3,"Passenger, Person 39",male,37.50529314621968,1,0,340039,14.03563256075132,,C,2,0,Middle-Aged,Medium-Low
40,0,2,"Passenger, Person 40",male,45.25135639099213,0,0,340040,0.0,,S,1,1,Middle-Aged,Low
41,1,1,"Passenger, Person 41",female,24.40818542162816,0,0,PC 17041,130.2804097243381,,S,1,1,Adult,High
42,0,3,"Passenger, Person 42",female,,3,0,340042,14.470690292907625,,C,4,0,,Medium-Low
43,1,1,"Passenger, Person 43",male,14.550266686695013,0,0,PC 17043,120.92230958659754,,S,1,1,Teens,High
44,0,3,"Passenger, Person 44",male,1.1878294540479737,0,0,340044,25.307179112429488,,S,1,1,Child,Medium-High
45,0,2,"Passenger, Person 45",male,59.51500338413467,0,0,340045,23.244329648405095,F2,S,1,1,Middle-Aged,Medium-High
46,0,3,"Passenger, Person 46",male,13.703478697035594,0,0,340046,31.627289114202313,,C,1,1,Teens,Medium-High
47,1,2,"Passenger, Person 47",female,26.491822458006304,0,0,340047,28.74529554237873,C22 C26,Q,1,1,Adult,Medium-High
48,0,3,"Passenger, Person 48",male,25.68620715161065,0,0,340048,5.351604685023448,E101,S,1,1,Adult,Low
49,0,3,"Passenger, Person 49",male,34.15739711823196,0,1,340049,11.065178536395331,,S,2,0,Adult,Medium-Low
50,1,1,"Passenger, Person 50",male,41.5281895818198,0,0,PC 17050,0.0,,C,1,1,Middle-Aged,Low
51,0,3,"Passenger, Person 51",male,,0,0,340051,3.7559051548061735,,S,1,1,,Low
52,1,3,"Passenger, Person 52",female,21.245377140750392,0,0,340052,9.4890395347327,,Q,1,1,Adult,Medium-Low
53,1,3,"Passenger, Person 53",female,,0,0,340053,19.689009705134325,C22 C26,S,1,1,,Medium-High
54,0,3,"Passenger, Person 54",male,33.797409282080345,0,1,340054,5.42602868604008,,Q,2,0,Adult,Low
55,0,3,"Passenger, Person 55",male,26.093978670338565,0,0,340055,0.0,A10,C,1,1,Adult,Low
56,1,3,"Passenger, Person 56",male,53.00651085228989,0,0,340056,0.0,,C,1,1,Middle-Aged,Low
57,1,1,"Passenger, Person 57",female,36.81913679875464,0,0,PC 17057,37.62943354972119,,S,1,1,Middle-Aged,High
58,1,1,"Passenger, Person 58",female,,1,0,PC 17058,236.3164405846985,C22 C26,S,2,0,,High
59,0,1,"Passenger, Person 59",male,39.311778395677486,0,0,PC 17059,105.29634872196856,,S,1,1,Middle-Aged,High
60,0,2,"Passenger, Person 60",male,46.71537093353721,2,0,340060,32.87453236061732,,S,3,0,Middle-Aged,Medium-High
61,1,2,"Passenger, Person 61",female,32.32481260120375,4,0,340061,8.95929497536476,A10,S,5,0,Adult,Medium-Low
62,0,2,"Passenger, Person 62",male,10.895936754640225,0,0,340062,0.2051531186711583,F2,S,1,1,Child,Low
63,1,3,"Passenger, Person 63",female,35.495475300413304,0,0,340063,0.2481478950312572,,C,1,1,Middle-Aged,Low
64,0,2,"Passenger, Person 64",male,20.255325040018477,0,0,340064,19.397295580950715,,S,1,1,Adult,Medium-High
65,1,2,"Passenger, Person 65",male,22.035058114628526,1,0,340065,0.0,C23 C25 C27,S,2,0,Adult,Low
66,0,3,"Passenger, Person 66",male,,0,0,340066,2.6075054194925213,E101,S,1,1,,Low
67,0,1,"Passenger, Person 67",male,,0,0,PC 17067,38.4138664942391,,S,1,1,,High
68,0,3,"Passenger, Person 68",male,30.008437862672892,0,0,340068,0.0,C23 C25 C27,S,1,1,Adult,Low
69,1,1,"Passenger, Person 69",female,34.178078682684976,1,0,PC 17069,252.36052777854368,,S,2,0,Adult,High
70,0,3,"Passenger, Person 70",male,54.38211669721095,1,2,340070,16.866190680307337,,C,4,0,Middle-Aged,Medium-Low
71,0,3,"Passenger, Person 71",male,33.19092110258424,0,0,340071,14.184585893730214,,S,1,1,Adult,Medium-Low
72,0,1,"Passenger, Person 72",male,67.42440515561573,0,0,PC 17072,144.9143296751501,,S,1,1,Senior,High
73,0,1,"Passenger, Person 73",male,37.89988986165739,0,0,PC 17073,0.0,,S,1,1,Middle-Aged,Low
74,0,3,"Passenger, Person 74",male,4.1689399922406425,0,0,340074,22.039150173522184,C22 C26,C,1,1,Child,Medium-High
75,0,3,"Passenger, Person 75",male,40.62345350601572,1,0,340075,30.502346139355744,E101,S,2,0,Middle-Aged,Medium-High
76,1,3,"Passenger, Person 76",female,35.226796580800276,0,0,340076,16.564362054605404,C23 C25 C27,C,1,1,Middle-Aged,Medium-Low
77,0,3,"Passenger, Person 77",male,48.40141493419981,0,0,340077,6.970700761086735,B96 B98,S,1,1,Middle-Aged,Low
78,1,1,"Passenger, Person 78",male,39.4611295934144,0,2,PC 17078,95.46629066172105,F2,C,3,0,Middle-Aged,High
79,0,2,"Passenger, Person 79",male,27.692388232235277,1,0,340079,12.108763939157496,,S,2,0,Adult,Medium-Low
80,1,1,"Passenger, Person 80",female,,1,0,PC 17080,19.85588250105738,,S,2,0,,Medium-High
81,1,3,"Passenger, Person 81",female,26.669162769352635,0,1,340081,21.195864284536583,,S,2,0,Adult,Medium-High
82,1,3,"Passenger, Person 82",female,17.36745341396515,1,0,340082,12.150446482340811,B96 B98,S,2,0,Teens,Medium-Low
83,0,2,"Passenger, Person 83",male,21.28240997783152,0,2,340083,36.326243494850374,,S,3,0,Adult,High
84,1,1,"Passenger, Person 84",male,38.23438686409884,0,0,PC 17084,49.64100683900154,,C,1,1,Middle-Aged,High
85,0,2,"Passenger, Person 85",male,53.91361531309539,0,1,340085,16.224730451289858,,S,2,0,Middle-Aged,Medium-Low
86,1,2,"Passenger, Person 86",male,35.422737182433224,0,0,340086,13.295357061990863,B96 B98,C,1,1,Middle-Aged,Medium-Low
87,0,3,"Passenger, Person 87",male,12.359695600489824,0,0,340087,1.357982174440743,,C,1,1,Teens,Low
88,0,3,"Passenger, Person 88",male,36.14673868919204,2,2,340088,22.638673884782506,,S,5,0,Middle-Aged,Medium-High
89,0,3,"Passenger, Person 89",male,47.05115655636194,0,0,340089,37.7228283107557,,C,1,1,Middle-Aged,High
90,0,3,"Passenger, Person 90",male,,0,0,340090,9.475500375772327,,S,1,1,,Medium-Low
91,1,1,"Passenger, Person 91",female,27.756751083242698,0,0,PC 17091,31.07131639334952,C23 C25 C27,S,1,1,Adult,Medium-High
92,1,3,"Passenger, Person 92",male,29.91297882357336,0,0,340092,5.481441679222003,,Q,1,1,Adult,Low
93,0,3,"Passenger, Person 93",male,18.31897446030752,1,0,340093,6.202934496395819,C23 C25 C27,S,2,0,Adult,Low
94,0,3,"Passenger, Person 94",female,39.10006629073595,0,0,340094,31.82762054864882,B96 B98,S,1,1,Middle-Aged,Medium-High
95,1,3,"Passenger, Person 95",male,27.946251845187167,0,0,340095,5.776714282641193,,S,1,1,Adult,Low
96,0,3,"Passenger, Person 96",female,35.7832204366519,1,0,340096,7.242065190215062,,S,2,0,Middle-Aged,Low
97,0,3,"Passenger, Person 97",male,16.831363421869547,0,0,340097,0.036103226339307,,Q,1,1,Teens,Low
98,0,2,"Passenger, Person 98",male,23.35685464531055,0,0,340098,24.477434060219917,,S,1,1,Adult,Medium-High
99,1,1,"Passenger, Person 99",female,,0,0,PC 17099,78.90609415222303,,S,1,1,,High
100,1,1,"Passenger, Person 100",female,24.29391929466938,0,0,PC 17100,0.0,,S,1,1,Adult,Low
101,1,1,"Passenger, Person 101",female,54.740975842884374,8,0,PC 17101,14.5092914091898,,S,9,0,Middle-Aged,Medium-Low
102,0,3,"Passenger, Person 102",male,23.905275308588266,1,0,340102,30.542267075891132,,S,2,0,Adult,Medium-High
103,0,2,"Passenger, Person 103",male,32.957928523402344,0,0,340103,21.08520083149398,,S,1,1,Adult,Medium-High
104,1,3,"Passenger, Person 104",male,43.22256706215981,1,0,340104,14.798539349920274,,S,2,0,Middle-Aged,Medium-Low
105,1,3,"Passenger, Person 105",male,,0,0,340105,14.842192075286675,,S,1,1,,Medium-Low
106,1,2,"Passenger, Person 106",female,,0,1,340106,38.79013004674529,,Q,2,0,,High
107,0,2,"Passenger, Person 107",male,7.577983438733625,0,0,340107,7.072213289830765,,S,1,1,Child,Low
108,1,3,"Passenger, Person 108",female,48.00746949969414,0,0,340108,9.319649278059,,C,1,1,Middle-Aged,Medium-Low
109,0,1,"Passenger, Person 109",male,21.69805688455952,0,0,PC 17109,70.97071388032415,C22 C26,C,1,1,Adult,High
110,0,1,"Passenger, Person 110",male,66.79388964218965,0,1,PC 17110,0.0,,C,2,0,Senior,Low
111,0,2,"Passenger, Person 111",male,21.518409819467863,2,2,340111,8.750160284442536,,C,5,0,Adult,Medium-Low
112,1,1,"Passenger, Person 112",female,32.37599389635704,0,0,PC 17112,165.79063652791314,,S,1,1,Adult,High
113,1,3,"Passenger, Person 113",female,52.060594312234194,0,0,340113,22.04234845963129,,S,1,1,Middle-Aged,Medium-High
114,1,3,"Passenger, Person 114",female,,0,1,340114,23.987735626122344,C23 C25 C27,S,2,0,,Medium-High
115,1,3,"Passenger, Person 115",female,59.591801861227765,0,0,340115,7.200007552154586,C23 C25 C27,S,1,1,Middle-Aged,Low
116,0,3,"Passenger, Person 116",female,47.22131034360056,0,0,340116,8.557352358692798,,C,1,1,Middle-Aged,Low
117,1,3,"Passenger, Person 117",female,44.5489066242662,0,0,340117,0.0,,S,1,1,Middle-Aged,Low
118,0,1,"Passenger, Person 118",male,38.29164076341715,1,0,PC 17118,156.84089430067215,A10,C,2,0,Middle-Aged,High
119,0,3,"Passenger, Person 119",male,40.98623560441624,0,2,340119,25.743174956427055,,S,3,0,Middle-Aged,Medium-High
120,0,3,"Passenger, Person 120",male,21.707807113236264,0,6,340120,25.60313063189169,,Q,7,0,Adult,Medium-High
121,1,3,"Passenger, Person 121",female,17.836116190376543,0,0,340121,31.32500378824964,D,S,1,1,Teens,Medium-High
122,1,3,"Passenger, Person 122",female,29.651070367541195,0,0,340122,18.323194528388964,,S,1,1,Adult,Medium-Low
123,0,2,"Passenger, Person 123",male,27.232322973388538,0,1,340123,40.899463875107,,S,2,0,Adult,High
124,1,1,"Passenger, Person 124",female,23.12819328475451,1,0,PC 17124,68.51298048568549,,C,2,0,Adult,High
125,1,1,"Passenger, Person 125",female,39.797617988122376,0,0,PC 17125,0.0,,S,1,1,Middle-Aged,Low
126,0,2,"Passenger, Person 126",male,43.551925524272406,0,2,340126,31.84942080412153,,Q,3,0,Middle-Aged,Medium-High
127,0,3,"Passenger, Person 127",male,30.981899851231784,0,0,340127,0.0,,C,1,1,Adult,Low
128,0,3,"Passenger, Person 128",female,51.12418617530129,0,0,340128,15.552222544427018,,C,1,1,Middle-Aged,Medium-Low
129,0,1,"Passenger, Person 129",male,13.145507845064175,0,0,PC 17129,158.66525656569195,,S,1,1,Teens,High
130,0,3,"Passenger, Person 130",female,,1,1,340130,17.246846756387168,,C,3,0,,Medium-Low
131,1,2,"Passenger, Person 131",male,,0,0,340131,50.27715991756958,,C,1,1,,High
132,1,1,"Passenger, Person 132",female,2.63521905244063,1,0,PC 17132,0.0,,S,2,0,Child,Low
133,0,1,"Passenger, Person 133",female,,0,0,PC 17133,77.6868675421986,B96 B98,S,1,1,,High
134,0,2,"Passenger, Person 134",female,27.93466112844239,1,0,340134,20.886921048284528,C22 C26,S,2,0,Adult,Medium-High
135,1,3,"Passenger, Person 135",male,51.6450212770109,0,1,340135,370.6840191052205,,S,2,0,Middle-Aged,High
136,1,2,"Passenger, Person 136",female,38.846769426044276,0,0,340136,5.661473720584287,,S,1,1,Middle-Aged,Low
137,1,3,"Passenger, Person 137",female,14.849291047226528,0,0,340137,4.383585280907399,,Q,1,1,Teens,Low
138,1,3,"Passenger, Person 138",male,56.58434221184573,2,0,340138,1.5838797654581145,,S,3,0,Middle-Aged,Low
139,1,2,"Passenger, Person 139",female,47.404988585117614,0,3,340139,19.25606954786972,,S,4,0,Middle-Aged,Medium-High
140,0,3,"Passenger, Person 140",male,38.14041670029493,0,0,340140,7.047386098326243,,Q,1,1,Middle-Aged,Low
141,0,3,"Passenger, Person 141",male,26.415980566677437,0,2,340141,17.176992225052427,,S,3,0,Adult,Medium-Low
142,0,2,"Passenger, Person 142",male,,1,0,340142,29.102596060639815,,C,2,0,,Medium-High
143,0,3,"Passenger, Person 143",male,24.30300174696973,0,1,340143,20.07956855690778,,S,2,0,Adult,Medium-High
144,0,2,"Passenger, Person 144",male,45.48685498571069,1,1,340144,15.32835881259817,,S,3,0,Middle-Aged,Medium-Low
145,0,2,"Passenger, Person 145",female,,0,0,340145,24.35818318303814,,S,1,1,,Medium-High
146,0,1,"Passenger, Person 146",male,52.077031159946735,0,2,PC 17146,164.89005546178518,C22 C26,S,3,0,Middle-Aged,High
147,0,3,"Passenger, Person 147",female,22.611683384099024,0,0,340147,18.581210394052388,,S,1,1,Adult,Medium-Low
148,1,3,"Passenger, Person 148",male,13.465547217309338,4,0,340148,34.12875463887762,,C,5,0,Teens,Medium-High
149,0,1,"Passenger, Person 149",male,31.742850580212455,0,0,PC 17149,160.75996096780167,,S,1,1,Adult,High
150,0,2,"Passenger, Person 150",male,4.057629199338651,2,0,340150,42.99929194443,,C,3,0,Child,High
151,0,3,"Passenger, Person 151",female,34.38593185567933,0,0,340151,0.0,,S,1,1,Adult,Low
152,0,1,"Passenger, Person 152",male,27.559762498669304,0,0,PC 17152,91.69073744893812,,S,1,1,Adult,High
153,1,1,"Passenger, Person 153",male,22.942470722910485,0,0,PC 17153,58.883264925726984,,S,1,1,Adult,High
154,1,3,"Passenger, Person 154",female,6.576805524631466,0,0,340154,12.305222966543631,,S,1,1,Child,Medium-Low
155,0,3,"Passenger, Person 155",male,37.14720154526089,1,0,340155,4.8254463788544655,,C,2,0,Middle-Aged,Low
156,0,2,"Passenger, Person 156",male,21.975837824902285,3,0,340156,25.810592204994336,D,Q,4,0,Adult,Medium-High
157,0,3,"Passenger, Person 157",male,12.736205882200824,1,0,340157,0.0,,C,2,0,Teens,Low
158,1,3,"Passenger, Person 158",female,,1,0,340158,18.1178054915842,,S,2,0,,Medium-Low
159,0,1,"Passenger, Person 159",male,29.301033876765775,0,0,PC 17159,23.956524825917857,C23 C25 C27,S,1,1,Adult,Medium-High
160,0,3,"Passenger, Person 160",female,55.39764815171129,0,0,340160,8.175753008675224,,S,1,1,Middle-Aged,Low
161,0,2,"Passenger, Person 161",male,53.78825861094411,4,0,340161,26.36052300435459,,C,5,0,Middle-Aged,Medium-High
162,0,3,"Passenger, Person 162",female,23.072104279499055,0,1,340162,14.546555006529667,,S,2,0,Adult,Medium-Low
163,1,3,"Passenger, Person 163",female,20.96792512475418,1,2,340163,25.27313002547099,E101,S,4,0,Adult,Medium-High
164,0,3,"Passenger, Person 164",female,36.49722671308784,1,0,340164,3.015461435694116,C23 C25 C27,S,2,0,Middle-Aged,Low
165,1,1,"Passenger, Person 165",male,15.223411131769772,0,0,PC 17165,77.85495912706406,C23 C25 C27,S,1,1,Teens,High
166,0,3,"Passenger, Person 166",female,34.07598254738225,8,2,340166,23.456504287122662,,S,11,0,Adult,Medium-High
167,0,2,"Passenger, Person 167",male,40.808164036578006,0,1,340167,25.35559666876818,,S,2,0,Middle-Aged,Medium-High
168,0,1,"Passenger, Person 168",male,47.49053174632246,0,0,PC 17168,117.34635177009812,,C,1,1,Middle-Aged,High
169,1,1,"Passenger, Person 169",male,28.24776589104068,0,2,PC 17169,170.57734295389227,,Q,3,0,Adult,High
170,1,3,"Passenger, Person 170",female,26.746730622433994,0,0,340170,9.211333062435196,,S,1,1,Adult,Medium-Low
171,1,3,"Passenger, Person 171",female,16.969252492029863,0,0,340171,6.894860351655021,C23 C25 C27,S,1,1,Teens,Low
172,1,1,"Passenger, Person 172",female,,0,0,PC 17172,129.0705460807222,,S,1,1,,High
173,1,3,"Passenger, Person 173",male,26.41605606742786,1,0,340173,12.036253653878015,,Q,2,0,Adult,Medium-Low
174,0,1,"Passenger, Person 174",male,,2,0,PC 17174,171.6818782804218,,Q,3,0,,High
175,1,3,"Passenger, Person 175",female,42.94697708038212,0,0,340175,17.747507808265617,,Q,1,1,Middle-Aged,Medium-Low
176,1,1,"Passenger, Person 176",male,18.053905215135,0,0,PC 17176,35.52864693735959,,C,1,1,Adult,High
177,0,3,"Passenger, Person 177",male,51.34398424991306,2,1,340177,17.40222429492256,,S,4,0,Middle-Aged,Medium-Low
178,0,2,"Passenger, Person 178",male,25.768707784882753,0,1,340178,8.924904365107066,,C,2,0,Adult,Medium-Low
179,0,3,"Passenger, Person 179",male,29.390174231947675,0,0,340179,24.09621315192762,,S,1,1,Adult,Medium-High
180,0,1,"Passenger, Person 180",male,,0,1,PC 17180,0.0,B96 B98,S,2,0,,Low
181,0,2,"Passenger, Person 181",male,0.42,0,1,340181,36.54684856455041,,C,2,0,Child,High
182,1,1,"Passenger, Person 182",male,42.51865824723522,0,1,PC 17182,109.17836787239702,,S,2,0,Middle-Aged,High
183,0,3,"Passenger, Person 183",male,40.384236507840285,4,0,340183,11.869829334150586,,S,5,0,Middle-Aged,Medium-Low
184,1,3,"Passenger, Person 184",female,,0,0,340184,22.07667566027264,,S,1,1,,Medium-High
185,0,2,"Passenger, Person 185",male,30.67136539976064,0,2,340185,27.307246374110616,,S,3,0,Adult,Medium-High
186,0,3,"Passenger, Person 186",male,,0,0,340186,28.314198542238667,C23 C25 C27,C,1,1,,Medium-High
187,1,3,"Passenger, Person 187",female,7.043085075145131,0,0,340187,28.21167912188814,,S,1,1,Child,Medium-High
188,0,3,"Passenger, Person 188",male,22.028736178478724,0,0,340188,17.55519488582915,B96 B98,S,1,1,Adult,Medium-Low
189,1,3,"Passenger, Person 189",female,41.21683785451649,1,0,340189,4.0905224315426505,,S,2,0,Middle-Aged,Low
190,1,2,"Passenger, Person 190",female,11.512803364045883,1,0,340190,13.620382994198865,,S,2,0,Child,Medium-Low
191,0,1,"Passenger, Person 191",male,33.95659001641612,0,0,PC 17191,78.56154290669143,E101,S,1,1,Adult,High
192,0,3,"Passenger, Person 192",male,10.029563832960626,1,0,340192,25.57893863834603,,S,2,0,Child,Medium-High
193,0,3,"Passenger, Person 193",female,36.46323474528613,1,1,340193,8.65974892528777,B96 B98,S,3,0,Middle-Aged,Medium-Low
194,1,3,"Passenger, Person 194",female,29.183198506686487,1,1,340194,9.5776542752685,,C,3,0,Adult,Medium-Low
195,0,2,"Passenger, Person 195",male,6.280588669370112,0,0,340195,44.68855818047655,,Q,1,1,Child,High
196,1,2,"Passenger, Person 196",male,46.58872063962898,0,2,340196,19.30411935208955,C22 C26,S,3,0,Middle-Aged,Medium-High
197,0,3,"Passenger, Person 197",male,19.04842213642829,0,0,340197,6.697949207067346,,S,1,1,Adult,Low
198,1,3,"Passenger, Person 198",female,17.951339663291478,0,0,340198,22.22310631233562,,S,1,1,Teens,Medium-High
199,0,3,"Passenger, Person 199",male,32.60825335984867,0,0,340199,13.062522887444567,,C,1,1,Adult,Medium-Low
200,0,3,"Passenger, Person 200",female,,0,1,340200,0.0,,S,2,0,,Low
201,0,3,"Passenger, Person 201",male,14.970583624813244,1,2,340201,25.13005491088111,,C,4,0,Teens,Medium-High
202,1,1,"Passenger, Person 202",male,30.594357822795587,1,0,PC 17202,25.880932985456575,,C,2,0,Adult,Medium-High
203,0,1,"Passenger, Person 203",male,35.91783925479331,1,1,PC 17203,87.54967667438693,,Q,3,0,Middle-Aged,High
204,0,3,"Passenger, Person 204",male,39.75003130531559,0,0,340204,12.93046974833908,B96 B98,Q,1,1,Middle-Aged,Medium-Low
205,0,3,"Passenger, Person 205",male,32.258402551519765,1,0,340205,16.211112908168488,,S,2,0,Adult,Medium-Low
206,1,1,"Passenger, Person 206",male,24.378096333291825,0,0,PC 17206,0.0,,S,1,1,Adult,Low
207,0,1,"Passenger, Person 207",male,17.699941800593564,0,0,PC 17207,58.01224065365972,,Q,1,1,Teens,High
208,0,3,"Passenger, Person 208",female,30.949086304172432,0,0,340208,26.05320766127272,,S,1,1,Adult,Medium-High
209,0,1,"Passenger, Person 209",male,14.1539843262087,0,1,PC 17209,182.85475055154905,E101,S,2,0,Teens,High
210,0,1,"Passenger, Person 210",male,0.42,0,0,PC 17210,6.829350232054958,,S,1,1,Child,Low
211,1,3,"Passenger, Person 211",female,36.03011716028618,1,0,340211,23.806580669829973,,S,2,0,Middle-Aged,Medium-High
212,1,3,"Passenger, Person 212",female,42.80705519574983,0,0,340212,5.304272701318576,E101,C,1,1,Middle-Aged,Low
213,1,3,"Passenger, Person 213",female,0.42,1,0,340213,9.560145146739885,B96 B98,S,2,0,Child,Medium-Low
214,1,1,"Passenger, Person 214",female,15.058904781705904,0,1,PC 17214,59.03521941617839,,S,2,0,Teens,High
215,0,3,"Passenger, Person 215",male,38.677736784575366,0,0,340215,14.876840806759487,D,Q,1,1,Middle-Aged,Medium-Low
216,0,1,"Passenger, Person 216",male,59.53368431081963,0,0,PC 17216,162.25658359068728,,C,1,1,Middle-Aged,High
217,0,2,"Passenger, Person 217",female,,0,1,340217,24.099598968378444,,S,2,0,,Medium-High
218,0,3,"Passenger, Person 218",female,19.14395735217755,0,0,340218,12.292550636437708,,S,1,1,Adult,Medium-Low
219,0,3,"Passenger, Person 219",male,27.048001603979817,0,0,340219,24.320423563420366,,S,1,1,Adult,Medium-High
220,1,3,"Passenger, Person 220",female,49.63570807764868,0,0,340220,4.85072470742914,B96 B98,S,1,1,Middle-Aged,Low
221,0,3,"Passenger, Person 221",male,20.333519402694236,0,0,340221,12.830608121852556,F2,S,1,1,Adult,Medium-Low
222,0,3,"Passenger, Person 222",male,18.111715903571323,0,0,340222,24.633593512152817,,S,1,1,Adult,Medium-High
223,1,1,"Passenger, Person 223",male,22.700218928360528,1,0,PC 17223,125.4358845196647,,S,2,0,Adult,High
224,0,2,"Passenger, Person 224",male,15.87673518024867,0,1,340224,14.598048293216136,,S,2,0,Teens,Medium-Low
225,1,2,"Passenger, Person 225",male,,1,1,340225,0.9915620341965232,,S,3,0,,Low
226,1,2,"Passenger, Person 226",male,,0,0,340226,24.701156480332543,,S,1,1,,Medium-High
227,0,3,"Passenger, Person 227",female,,2,0,340227,0.0,,S,3,0,,Low
228,0,2,"Passenger, Person 228",male,,1,1,340228,17.897482259014854,,C,3,0,,Medium-Low
229,0,3,"Passenger, Person 229",male,,0,0,340229,26.648432391603343,,S,1,1,,Medium-High
230,1,3,"Passenger, Person 230",female,7.033733273898472,0,0,340230,20.244345109320346,,S,1,1,Child,Medium-High
231,1,3,"Passenger, Person 231",female,42.50509176863381,1,0,340231,0.0,,S,2,0,Middle-Aged,Low
232,1,3,"Passenger, Person 232",female,28.57136064331437,0,1,340232,356.71771686556536,,Q,2,0,Adult,High
233,1,3,"Passenger, Person 233",female,27.083041252935928,0,0,340233,10.169130939371462,,S,1,1,Adult,Medium-Low
234,0,3,"Passenger, Person 234",female,76.00005973375048,0,0,340234,0.0,,S,1,1,Senior,Low
235,0,1,"Passenger, Person 235",male,34.03191717130245,1,0,PC 17235,110.281661072564,,S,2,0,Adult,High
236,0,3,"Passenger, Person 236",male,,1,1,340236,8.270883663302001,,C,3,0,,Low
